name,appID,playTime,playTime2,logoURL,disabled,
Castlevania: Lords of Shadow – Mirror of Fate HD,282530,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/282530/7b0e58ad9558a280cda8e49654132f301ebac79e.jpg,false,
Catch a Falling Star,451880,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/451880/95abfd00b7f6eafc508cb235f6c8646547af0346.jpg,false,
Catzilla,261920,53,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/261920/315a5a5a39de2051c0ec13d549c1bdd4d18d7c60.jpg,false,
Chivalry: Medieval Warfare,219640,6,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/219640/dd3488ae69593cedf5e73b818ae98e6737aa956c.jpg,false,
Chroma Squad,251130,16,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/251130/a6da7d47dbec8da73cd445e36580dbd0af419e2b.jpg,false,
Cities: Skylines,255710,106,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/255710/1b90f32be112870a4fa22c819a358d047b38d97f.jpg,false,
City Car Driving,493490,128,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/493490/8d9e136eb9e8f005495ae5c94a6fabd25aa5971b.jpg,false,
Clergy Splode,403900,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/403900/c62cf47925d52948ab88cc312692da981847ab6c.jpg,false,
Colin McRae Rally,287340,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/287340/db0986dbbb106cd5be74caa89a6b345ce8820755.jpg,false,
Command and Conquer: Red Alert 3 - Uprising,24800,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/24800/de6777c6cf277967764224514fb200af9197ae2e.jpg,false,
Commander Cool 2,356070,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/356070/5f542459bbb10d0fd2fa0e611034e3ba745325e1.jpg,false,
Company of Heroes ,228200,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/228200/87aa009e93d5aa56a55d0e9056708d018ddd6483.jpg,false,
Company of Heroes - Legacy Edition,4560,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/4560/e12e8695c6766b47a089351dd9c4531e669c2a7b.jpg,false,
Company of Heroes 2,231430,8,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/231430/1be017e709b9b0638e82b399cc97de4667f44a1e.jpg,false,
Company of Heroes: Opposing Fronts,9340,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/9340/830c99099ea2cfecfe74c41f376fc892a09dd181.jpg,false,
Company of Heroes: Tales of Valor,20540,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/20540/ed0c55412acea558d025a3e238e2b7341edc5c41.jpg,false,
Controller Companion,367670,1,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/367670/995c1c828e8de21b8f3e9cfd78bce166df4bbc20.jpg,false,
Cook, Serve, Delicious!,247020,36,false,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/247020/147c902c85b3e96d834932f692122bb228bf8233.jpg
Cortex Command,209670,7,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/209670/ddd5f720fc2968c4a8fe15c2e8a428f3b5936e86.jpg,false,
Cosmic Dust & Rust,473560,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/473560/4e163690ad55fc75719ebe301bfcf52948aec6e8.jpg,false,
Costume Quest,115100,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/115100/125ad90dba2c6c3726837ae9c1889d8009f806a9.jpg,false,
Costume Quest 2,275180,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/275180/424c83b6825582c439696a47718cfb0dd8defcec.jpg,false,
Counter-Strike: Global Offensive,730,200,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/730/d0595ff02f5c79fd19b06f4d6165c3fda2372820.jpg,false,
Crash Time II,11390,5,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/11390/e0f0078e658a034f0486f4895226435b38318677.jpg,false,
Crash Time III,33620,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/33620/29a8bb3de4a60fa2307d0be600210af54ac56b3d.jpg,false,
Crazy Taxi,71230,18,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/71230/be180e020c4e1ca0a13ec1a9006a1235b6a9eb50.jpg,false,
Crusader Kings II,203770,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/203770/a3170e4c1889a7e2a360feef61e07a5aee51dc88.jpg,false,
Crysis 2 Maximum Edition,108800,86,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/108800/bee338e11932e97e995b6e2d84d0772f7b22f2a9.jpg,false,
Cuphead,268910,309,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/268910/d7007e2e5eeedc7da58e8b2c79fcf16fcded19fe.jpg,false,
Damned,251170,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/251170/b0f1b6ce8e363a5c1b0396ff73b7497f5228dfdf.jpg,false,
Dangerous Golf,405500,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/405500/3a44658f057eed8b95adad2a152c3f47023de4a8.jpg,false,
DARK SOULS™ II: Scholar of the First Sin,335300,86,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/335300/6ca16aa1b83311e5e3e8f0f0c2b8046f5d9e95a8.jpg,false,
DARK SOULS™: Prepare To Die Edition,211420,178,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/211420/d293c8e38f56de2c7097b2c7a975caca49029a8b.jpg,false,
Darksiders,50620,29,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/50620/14bd29bc9b291081b63258e3bfbbf5bb655c2347.jpg,false,
Darksiders II,50650,8,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/50650/b0b8edfa57f332dc529c04b4dd2f5475227e71ac.jpg,false,
Darksiders Warmastered Edition,462780,84,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/462780/f188a32787983ef5346157473a4d8ba0ed024d98.jpg,false,
Day of Defeat: Source,300,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/300/e3a4313690bd551495a88e1c01951eb26cec7611.jpg,false,
DCS World Steam Edition,223750,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/223750/27fff67df94901f4b58ded075f9a8ad20f74abeb.jpg,false,
Dead Island,91310,60,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/91310/62632a275a4cc08f0238ed3d589ce1d8627fde91.jpg,false,
Dead Rising,427190,12,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/427190/f77418310c04d3b81500dff57b34026d8753cac3.jpg,false,
Dead Space,17470,16,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/17470/01400b8d7847c309e5d47d7ceb3f885f47247501.jpg,false,
DeadCore,284460,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/284460/cfc9a6d858f1cdd1c6774be5514c3922d3b6caeb.jpg,false,
Deadlight,211400,95,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/211400/999ca8e7a742d1eff2cb6708dd12036952b31163.jpg,false,
Death Rally (Classic),358270,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/358270/71822239d2a8d3a92fbf4f52a09dd08b02fcd567.jpg,false,
Deep Dungeons of Doom,325090,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/325090/9b3e472bf580968bc6cd83393092b2a11fbd41cc.jpg,false,
Deep Space Dash,493650,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/493650/ef9cfbadf0e8a8f5e99d960c870eb660fa2473fc.jpg,false,
Desert Law,356280,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/356280/9b154cb747a310545340bbbb89a9b13e78580194.jpg,false,
Deus Ex: Human Revolution,28050,94,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/28050/93705ac83aa363ce6ead3f6aad7fa4292d3cd80f.jpg,false,
Devil May Cry 3: Special Edition,6550,9,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/6550/b26ae9eee26c206b2b3bfab7d365f707e20854a3.jpg,false,
DiRT 3,44320,126,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/44320/fad5f8433cda40c9fa3b1488d75eefa42cf0a765.jpg,false,
DiRT 3 Complete Edition,321040,330,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/321040/bb89ef19777c30c8551b0f4eea296d6ca33007cc.jpg,false,
